算法名,算法用途,算法困难问题类型,具体算法困难问题,作者团队,官网链接,源代码链接,标准化文件链接,所有评论,算法特色简介,算法后续进展
BIG QUAKE,密钥封装 ,编码,l-QCSD  Problem,Magali Bardet等,https://bigquake.inria.fr/,https://csrc.nist.gov/CSRC/media/Projects/Post-Quantum-Cryptography/documents/round-1/submissions/BIG_QUAKE.zip,https://github.com/sageblue000/pqc_collect/blob/master/Supporting_Documentation/NIST_round1/BIG_QUAKE/proposal.pdf,,BIG QUAKE 13是一个密钥封装机制 (KEM) 141414，它基于使用二进制准循环Goppa码 (binary quasi-cyclic Goppa codes) 的类Niederreiter公钥加密方案 15。其安全性假设基于两个编码理论中的困难问题：l-准循环综合征解码 (l-QCSD) 问题和准循环Goppa码的决策不可区分性 (DIQCG) 问题 16。与同样抵抗量子攻击的 17经典McEliece方案相比，该方案的主要特点是利用准循环结构来显著减小McEliece方案公钥过大的问题 18，同时继承了其快速加密和解密的优点 19191919。,
CFPKM,密钥封装 ,解非线性多元多项式组,Solving Noisy Polynomial Systems,O. Chakraborty 等,,https://csrc.nist.gov/CSRC/media/Projects/Post-Quantum-Cryptography/documents/round-1/submissions/CFPKM.zip,https://github.com/sageblue000/pqc_collect/blob/master/Supporting_Documentation/NIST_round1/CFPKM/doc.pdf,https://csrc.nist.gov/CSRC/media/Projects/Post-Quantum-Cryptography/documents/round-1/official-comments/CFPKM-official-comment.pdf,CFPKM 是一种密钥封装机制 (KEM) ，其安全假设基于一个相对较新的困难问题——“带噪声的多项式系统求解问题”(PoSSo with Noise Problem) ，该问题据称是 NP-hard 的 。与基于 LWE (Learning with Errors) 问题的同类 KEM 方案相比，CFPKM 的主要优势在于其通信成本和密钥体积更小 ，能够以更低的参数值达到相似的安全级别 。该方案的一个局限性是它依赖于小的秘密值和误差范围 。,
Compact LWE,密钥封装 ,格,Compact-LWE problem,Dongxi Liu等,,https://csrc.nist.gov/CSRC/media/Projects/Post-Quantum-Cryptography/documents/round-1/submissions/Compact_LWE.zip,https://github.com/sageblue000/pqc_collect/blob/master/Supporting_Documentation/NIST_round1/Compact-LWE-Public-Key-Enc/specification-compact-lwe.pdf,https://csrc.nist.gov/CSRC/media/Projects/Post-Quantum-Cryptography/documents/round-1/official-comments/Compact-LWE-official-comment.pdf,Compact-LWE 是一种新的公钥加密方案 ，其安全假设基于 LWE (Learning With Errors) 问题的变体 ，即 "Compact-LWE" 困难问题 。该方案的主要特点是声称即使像 CVP 和 SIS 这样的标准格困难问题能被有效解决，它依然能抵抗已知的格攻击 ；这是因为它引入了比向量条目大得多的特殊结构化噪声 ，使得 CVP 攻击失效 。这一特性使其可以使用非常小的维度参数（如 n=8） ，从而实现较短的密文 和高效的密钥生成 。与 RSA 和 ECC 相比，其主要缺点是公钥体积较大 。,
DAGS,密钥封装 ,编码,Syndrome Decoding Problem,Gustavo Banegas等,https://www.dags-project.org,https://csrc.nist.gov/CSRC/media/Projects/Post-Quantum-Cryptography/documents/round-1/submissions/DAGS.zip,https://github.com/sageblue000/pqc_collect/blob/master/Supporting_Documentation/NIST_round1/DAGS/DAGS_spec.pdf,https://csrc.nist.gov/CSRC/media/Projects/Post-Quantum-Cryptography/documents/round-1/official-comments/DAGS-official-comment.pdf,DAGS 是一种基于编码的密钥封装机制 (KEM)，它使用准二元 (Quasi-Dyadic) 广义 Srivastava (GS) 码。其安全假设基于综合征解码问题 (SDP) 的困难性。与其他基于编码的方案（如 Classic McEliece 或 McBits）相比，DAGS 的主要特点是利用代数结构实现了更紧凑的公钥；与 CAKE 或某些基于格的方案相比，它的优势在于没有解码失败率 (DFR)，并且密文较小，从而实现了较低的总体通信带宽。该方案的一个主要限制是其代G%E结构使其易受 FOPT 攻击，因此必须谨慎选择参数以规避此风险。,
Ding Key Exchange,密钥封装 ,格,Ring Learning With Errors (RLWE) Problem,Jintai Ding等,,https://csrc.nist.gov/CSRC/media/Projects/Post-Quantum-Cryptography/documents/round-1/submissions/Ding_LWE_Key_Exchange.zip,https://github.com/sageblue000/pqc_collect/blob/master/Supporting_Documentation/NIST_round1/Ding_LWE_Key_Exchange/doc.pdf,,"Ding Key Exchange 是一种仅限临时使用的 (ephemeral-only) 密钥交换协议，旨在作为经典 Diffie-Hellman 协议的抗量子替代方案。其安全假设基于环上带错学习 (Ring Learning With Errors, RLWE) 问题的困难性。该方案的特点是使用了一种新颖的错误协调机制（称为“鲁棒提取器”），通过发送额外的“信号”(signal) 信息来辅助双方协商密钥；它还引入了一种新的舍入 (rounding) 技术来压缩公钥，以降低通信成本。与其他基于 RLWE 的方案（如 NewHope、Kyber）相比，它声称具有更小的通信开销，并且能生成更长的共享密钥（如 512 或 1024 位）；但其主要限制是必须禁止密钥重用，否则会受到高效的密钥恢复攻击。",
DME,签名和密钥封装 ,多元公钥密码体制,olving the system of high-degree multivariate polynomial equations,l. Luengo等,,https://csrc.nist.gov/CSRC/media/Projects/Post-Quantum-Cryptography/documents/round-1/submissions/DRS.zip,https://github.com/sageblue000/pqc_collect/blob/master/Supporting_Documentation/NIST_round1/DME/DME.pdf,https://csrc.nist.gov/CSRC/media/Projects/Post-Quantum-Cryptography/documents/round-1/official-comments/DME-official-comment.pdf,DME 是一种多元公钥密码体制 (PKC)，同时支持签名和密钥封装 (KEM) 5555555。它基于一种新颖的中心映射结构，该结构使用“带矩阵指数的双重指数”6666，通过组合多个线性映射和两次指数映射来构造公钥 $F$ 7，使其成为一个多项式 8。其安全假设基于抵抗代数攻击（特别是 Gröbner 基攻击）9999和结构性攻击 10101010的困难性。该方案的一个关键特点是，公钥 $F$ 具有极少数的单项式（例如 64 个），而其逆映射 $F^{-1}$（解密操作）则具有指数级数量的单项式（例如超过 $2^{100}$ 个）111111111111111111，这使得通过插值等方法求解逆映射变得困难。与其他多元方案（尤其是基于二次多项式的方案）相比，它旨在通过使用任意次多项式 12121212来增强对 Gröbner 基攻击的抵抗力 13；其缺点是方案很新（2017 年 11 月完成）1414，对抗新型结构性攻击的能力尚不明确 15151515，并且数字签名算法存在很小的失败概率（可通过填充修复）16161616。,
DRS,签名 ,格,BDD Problem and uSVP,Thomas PLANTARD等,,https://csrc.nist.gov/CSRC/media/Projects/Post-Quantum-Cryptography/documents/round-1/submissions/DRS.zip,https://github.com/sageblue000/pqc_collect/blob/master/Supporting_Documentation/NIST_round1/DRS/Algorithm_Specifications.pdf,https://csrc.nist.gov/CSRC/media/Projects/Post-Quantum-Cryptography/documents/round-1/official-comments/DRS-official-comment.pdf,DRS 是一种基于格的数字签名方案 ，它使用对角占优格 作为私钥，并使用一个混淆后的基作为公钥 。其安全假设基于 BDD（有界距离解码）或 uSVP（唯一最短向量问题）等格问题的困难性 。该方案是对早期 GGH 和 Plantard 方案的改进，使用最大范数 来抵御 parallelepiped 攻击 。其性能特点是签名速度相对较快，但密钥生成和验证所需时间较长 。,
DualModeMS,签名 ,多变量,Solving Systems of Multivariate Non-linear (Quadratic) Equations,J.-C. Faugère等,https://www-polsys.lip6.fr/Links/NIST/DualModeMS.html,https://csrc.nist.gov/CSRC/media/Projects/Post-Quantum-Cryptography/documents/round-1/submissions/DualModeMS.zip,https://github.com/sageblue000/pqc_collect/blob/master/Supporting_Documentation/NIST_round1/DualModeMS/doc.pdf,https://csrc.nist.gov/CSRC/media/Projects/Post-Quantum-Cryptography/documents/round-1/official-comments/DualModeMS-official-comment.pdf,Dual ModeMS 是一种多元签名方案 ，它由一个基于 HFEv- 的内部签名方案和一个 SBP 模式（外部层）组成 。其安全假设基于内部方案公钥（多元二次方程组）的反演困难性 和外部层的近似多元二次 (AMQ) 问题的困难性 。与传统多元签名方案（公钥大、签名短）相比 ，它的主要特点是利用 SBP 技术实现了非常小的公钥，但代价是签名变得非常大 。,
EdonK,密钥封装 ,编码,Subset Ratio Problem for Vectors over a Finite Field,Danilo Gligoroski 等,,https://csrc.nist.gov/CSRC/media/Projects/Post-Quantum-Cryptography/documents/round-1/submissions/EdonK.zip,https://github.com/sageblue000/pqc_collect/blob/master/Supporting_Documentation/NIST_round1/EdonK/Edon-K.pdf,https://csrc.nist.gov/CSRC/media/Projects/Post-Quantum-Cryptography/documents/round-1/official-comments/Edon-K-official-comment.pdf,EDON-K 是一种密钥封装机制 (KEM) ，被设计为 McEliece 方案的一个变种 。其安全假设基于一个新的 NP-Hard 问题，称为“有限域向量子集比率问题 (FFVSRP)” ，以及标准哈希函数的单向性 。与传统 McEliece 方案相比，它使用非二元有限域 和“准双基准正交矩阵” (quasi-binary quasi-orthogonal matrices) ，并且其错误向量构造旨在使信息集解码 (ISD) 攻击无效 。该方案的特点是公钥和密文相对较小 ，密钥生成速度快 ，并且被设计为原生 IND-CCA2 安全 。,
EMBLEM R EMBLEM,密钥封装 ,,,,https://pqc-emblem.org/,https://csrc.nist.gov/CSRC/media/Projects/Post-Quantum-Cryptography/documents/round-1/submissions/EMBLEM_R_EMBLEM.zip,https://github.com/sageblue000/pqc_collect/blob/master/Supporting_Documentation/NIST_round1/EMBLEM_R_EMBLEM/Algorithm Specifications and Supporting Documentation.pdf,https://csrc.nist.gov/CSRC/media/Projects/Post-Quantum-Cryptography/documents/round-1/official-comments/EMBLEM-and-R-EMBLEM-official-comment.pdf,,
Giophantus,密钥封装 ,求解不定方程,LWE,Koichiro Akiyama等,https://eprint.iacr.org/2017/1241,https://csrc.nist.gov/CSRC/media/Projects/Post-Quantum-Cryptography/documents/round-1/submissions/Giophantus.zip,https://github.com/sageblue000/pqc_collect/blob/master/Supporting_Documentation/NIST_round1/Giophantus_R/Proposal(NIST_PQC)Giophantus_final.pdf,https://csrc.nist.gov/CSRC/media/Projects/Post-Quantum-Cryptography/documents/round-1/official-comments/Giophantus-official-comment.pdf,Giophantus 是一种后量子公钥加密方案 ，它源于代数曲面密码系统 (ASC) 。其安全假设基于一个新的计算难题——“不定方程带错学习 (IE-LWE) 假设” ，这与寻找非线性不定方程的最小范数解相关 。与依赖线性问题的格密码或编码密码不同，Giophantus 的底层问题可以是线性的或非线性的 ；且与多元密码不同，它在 IE-LWE 假设下具有 IND-CPA 可证明安全性 。该方案的一个显著特点是它具有环同态属性 。,
Gravity-SPHINCS,签名 ,哈希,Collision Resistance of a Hash Function,Guillaume Endignoux,https://github.com/gravity-postquantum/gravity-sphincs,https://csrc.nist.gov/CSRC/media/Projects/Post-Quantum-Cryptography/documents/round-1/submissions/Gravity_SPHINCS.zip,https://github.com/sageblue000/pqc_collect/blob/master/Supporting_Documentation/NIST_round1/gravity-sphincs/master_thesis_endignoux_guillaume.pdf,https://csrc.nist.gov/CSRC/media/Projects/Post-Quantum-Cryptography/documents/round-1/official-comments/Gravity-SPHINCS-official-comment.pdf,GRAVITY 是一种无状态哈希签名方案 ，旨在改进 SPHINCS 。其安全性基于哈希函数的标准假设，如碰撞抵抗性、单向性和伪随机性 。与 SPHINCS 相比 ，GRAVITY 的主要特点是通过引入 PORS（一种避免弱消息的PRNG子集选取方法 ）、密钥缓存 、Octopus 多重认证 和无掩码结构 (mask-less constructions) 等多项改进，在相似计算时间下显著减小了签名和公钥的体积 。,
Guess Again,密钥封装 ,哈希,None,Vladimir Shpilrain等,,https://csrc.nist.gov/CSRC/media/Projects/Post-Quantum-Cryptography/documents/round-1/submissions/GuessAgain.zip,https://github.com/sageblue000/pqc_collect/blob/master/Supporting_Documentation/NIST_round1/GuessAgain/guess again.pdf,https://csrc.nist.gov/CSRC/media/Projects/Post-Quantum-Cryptography/documents/round-1/official-comments/guess-again-official-comment.pdf,"Guess Again 是一种公钥加密协议，它允许合法的接收方（Bob）以大于 1/2 但小于 1 的概率正确解密单个比特 。该方案的安全性是无条件的，不依赖任何计算困难假设，旨在对抗计算能力无界的被动攻击者 。其核心特点是让攻击者与知道秘密比特的发送者（Alice）竞争，而非接收者 ；Alice 猜测 Bob 的私钥以确保正确解密，而攻击者试图猜测 Alice 的秘密比特 。这种设计使得攻击者猜中比特的概率恰好为 1/2 ，而合法方的成功概率可以通过重复（例如 2000 次）放大到接近 1 。该方案的主要代价是存在解密错误，并且具有非常大的密文扩展因子，例如加密 1 比特需要约 18,000 比特的密文",
Gui,签名 ,多变量,forgery attacks against the HFEv- public key,Jintai Ding等,,https://csrc.nist.gov/CSRC/media/Projects/Post-Quantum-Cryptography/documents/round-1/submissions/Gui.zip,https://github.com/sageblue000/pqc_collect/blob/master/Supporting_Documentation/NIST_round1/Gui/Gui Documentation.pdf,https://csrc.nist.gov/CSRC/media/Projects/Post-Quantum-Cryptography/documents/round-1/official-comments/Gui-official-comment.pdf,Gui 是一种基于 HFEv- 的多元密码签名方案 。其安全假设基于抵抗针对其公钥（多元二次方程组）的一系列已知攻击（如直接代数攻击和秩攻击）的困难性，而非一个标准的 MQ 问题 。与 QUARTZ 等方案相比，Gui 使用低阶多项式以及更多的 "minus" 和 "vinegar" 变量，以显著加快签名生成速度 ；它的主要优点是签名非常短 ，但公钥则非常大 。,
HiMQ-3,签名 ,多变量,MQ-Problem、Isomorphism of Polynomials (IP) problem 和 MinRank problem ,,,https://csrc.nist.gov/CSRC/media/Projects/Post-Quantum-Cryptography/documents/round-1/submissions/HiMQ_3.zip,https://github.com/sageblue000/pqc_collect/blob/master/Supporting_Documentation/NIST_round1/HiMQ-3/HiMQ-3-NIST-Final.pdf,https://csrc.nist.gov/CSRC/media/Projects/Post-Quantum-Cryptography/documents/round-1/official-comments/HiMQ-3-official-comment.pdf,HiMQ-3 是一种基于多元二次方程 (MQ) 的高速数字签名方案 。其安全假设基于 MQ 问题、多项式同构 (IP) 问题和 MinRank 问题的困难性 。该方案采用一个特殊的三层中心映射结构 ，旨在抵抗已知的直接攻击、密钥恢复攻击 (KRA) 和秩攻击 。与 Rainbow 等方案相比，HiMQ-3 的主要特点是签名和验证速度极快（签名速度快 3.1 倍 ），签名非常短（67-75 字节 ），但公钥尺寸仍然很大 。,
HK17,密钥封装 ,非交换密码学,DP、GSDP and  DCP,Juan Pedro Hecht 和 Jorge Alejandro Kamlofsky,,https://csrc.nist.gov/CSRC/media/Projects/Post-Quantum-Cryptography/documents/round-1/submissions/HK17.zip,https://github.com/sageblue000/pqc_collect/blob/master/Supporting_Documentation/NIST_round1/HK17/Algorithm specifications and supporting documentation.pdf,https://csrc.nist.gov/CSRC/media/Projects/Post-Quantum-Cryptography/documents/round-1/official-comments/HK17-official-comment.pdf,HK17 是一种基于非交换和非结合代数（特别是四元数和八元数）的密钥交换协议 。其安全假设基于广义分解问题 (GSDP/DP) 和双陪集问题 (DCP) 的困难性 ，这些问题被推测不在 BQP 量子复杂度类中 。该方案的主要特点是不需要大数库 ，运行速度相对较快 ，易于在硬件和小型设备上实现 ；特别是，使用八元数时的非结合性 可阻止基于“平方乘法”算法的侧信道攻击 。,
KINDI,密钥封装 ,格,Module-LWE (MLWE) 和 Module-SIS (MSIS),Rachid El Bansarkhani,http://kindi-kem.de/,https://csrc.nist.gov/CSRC/media/Projects/Post-Quantum-Cryptography/documents/round-1/submissions/KINDI.zip,https://github.com/sageblue000/pqc_collect/blob/master/Supporting_Documentation/NIST_round1/KINDI/doc.pdf,,KINDI 是一种基于格的陷门加密方案 (KINDI_CPA) 及其衍生的 CCA 安全密钥封装机制 (KEM) 。其安全假设基于 Module-LWE (MLWE) 问题的困难性 。该方案的特点是将消息嵌入到错误项中 ，解密时陷门允许恢复秘密向量和错误项 ；与其他方案相比，这种设计允许实现较小的消息扩展因子 。,
Lepton,密钥封装,格,Ring-Compact Learning Parity with Noise (Ring-LPN) problem,郁昱 团队,,https://csrc.nist.gov/CSRC/media/Projects/Post-Quantum-Cryptography/documents/round-1/submissions/Lepton.zip,https://github.com/sageblue000/pqc_collect/blob/master/Supporting_Documentation/NIST_round1/Lepton/Lepton.pdf,https://csrc.nist.gov/CSRC/media/Projects/Post-Quantum-Cryptography/documents/round-1/official-comments/Lepton-official-comment.pdf,Lepton 是一种基于“紧凑版学习奇偶噪声”(CLPN) 及其环变体（Ring-CLPN）的后量子密钥封装（KEM）方案，安全性依赖（Ring-）CLPN 的难解性；工程上以比特级 XOR/AND 为主、实现简单并较传统低噪声 LPN 方案显著压缩公钥/密文，但总体效率与带宽仍不及主流 Module-LWE 系列（如 Kyber）。,在 NIST 第一轮中未能胜出，无缘NIST标准化。
Lima,密钥封装 ,格,LIMA Ring-LWE,Martin R. Albrecht等,https://lima-pq.github.io/,https://csrc.nist.gov/CSRC/media/Projects/Post-Quantum-Cryptography/documents/round-1/submissions/Lima.zip,https://github.com/sageblue000/pqc_collect/blob/master/Supporting_Documentation/NIST_round1/Lima/Submission.pdf,https://csrc.nist.gov/CSRC/media/Projects/Post-Quantum-Cryptography/documents/round-1/official-comments/LIMA-official-comment.pdf,LIMA 是一套基于格的公钥加密 (PKE) 和密钥封装机制 (KEM)，提供 IND-CPA 和 IND-CCA 安全选项 。其安全性基于环LWE (Ring-LWE) 问题的变体，即 LIMA Ring-LWE 假设 ，并使用 Fujisaki-Okamoto 和 Dent 变换来获得 IND-CCA 安全性 。该方案的特点是设计上偏向“简单和保守” ，使用成熟的组件 ；它通过在加密阶段使用拒绝采样来消除解密失败 ，并提供两种环选项（高效的二的幂次分圆环或更保守的安全素数分圆环）以在效率和防范潜在的子域攻击之间进行权衡 。,
Lizard,密钥封装 ,格,LWE and LWR,Jung Hee Cheon等,,https://csrc.nist.gov/CSRC/media/Projects/Post-Quantum-Cryptography/documents/round-1/submissions/Lizard.zip,https://github.com/sageblue000/pqc_collect/blob/master/Supporting_Documentation/NIST_round1/LizardFinal/Algorithm Specification of Lizard.pdf,https://csrc.nist.gov/CSRC/media/Projects/Post-Quantum-Cryptography/documents/round-1/official-comments/Lizard-official-comment.pdf,Lizard 是一套后量子公钥加密 (PKE) 和密钥封装 (KEM) 方案，也包括其环版本 RLizard 。其安全假设基于稀疏、小秘密版本的 LWE 和 LWR 问题（及其环变体）。该方案的特点是使用 LWR 中的舍入来减小密文大小 ，并使用稀疏的临时秘密来加速乘法 ，旨在实现比 NTRU 等方案更快的加解密速度 。,
LOTUS,密钥封装 ,格,LWE ,"Le Trieu Phong, Takuya Hayashi, Yoshinori Aono,",https://www2.nict.go.jp/security/lotus/index.html,https://csrc.nist.gov/CSRC/media/Projects/Post-Quantum-Cryptography/documents/round-1/submissions/LOTUS.zip,https://github.com/sageblue000/pqc_collect/blob/master/Supporting_Documentation/NIST_round1/LOTUS/LOTUS_specifications_2017Nov30_final.pdf,https://csrc.nist.gov/CSRC/media/Projects/Post-Quantum-Cryptography/documents/round-1/official-comments/LOTUS-official-comment.pdf,LOTUS 是一种基于格的公钥加密 (PKE) 和密钥封装 (KEM) 方案 。其设计原理是“安全第一，成本第二” ，其 IND-CCA2 安全性在随机预言模型下完全基于标准的 LWE 假设 。LOTUS 的优势在于其安全保证仅依赖于标准 LWE 假设 ，其代价（即局限性）是相对较大的密钥体积 。,
McNie,密钥封装 ,编码,Rank Syndrome Decodin and MinRank ,Lucky Galvez等,,https://csrc.nist.gov/CSRC/media/Projects/Post-Quantum-Cryptography/documents/round-1/submissions/McNie.zip,https://github.com/sageblue000/pqc_collect/blob/master/Supporting_Documentation/NIST_round1/McNie/document.pdf,https://csrc.nist.gov/CSRC/media/Projects/Post-Quantum-Cryptography/documents/round-1/official-comments/McNie-official-comment.pdf,McNie 是一种基于编码的公钥加密方案 ，它是 McEliece 和 Niederreiter 密码体制的混合版本 。其安全假设基于低秩校验码 (LRPC) 相关的困难问题，例如秩综合征解码 (RSD) 问题 和 MinRank 问题 ，旨在抵抗结构化攻击和信息集解码 (ISD) 攻击 。与传统码基密码系统相比，该方案的主要特点是使用准循环 (QC) LRPC 码 来克服大密钥体积的缺点 ，实现了更小的密钥尺寸（例如 128 位安全级别下为 2775 比特）。该方案声称比 McEliece 或 GRSTZ 方案更难攻破 ，但其局限性在于 LRPC 解码是概率性的，存在解密失败的可能 。,
Mersenne-756839,密钥封装 ,格,Mersenne Low-Hamming-Weight Combination Assumption (MLCA),Divesh Aggarwal等,,https://csrc.nist.gov/CSRC/media/Projects/Post-Quantum-Cryptography/documents/round-1/submissions/Mersenne_756839.zip,https://github.com/sageblue000/pqc_collect/blob/master/Supporting_Documentation/NIST_round1/Mersenne_756839/Mersenne_paper.pdf,,这是一个新的公钥密码系统（PKE 和 KEM），其安全性基于新提出的“Mersenne 低汉明重量组合假设” 333。该困难问题假设在给定 R 和 T 的情况下，求解 $T=F\cdot R+G \pmod{p}$ 找出低汉明重量的 F 和 G 是困难的，其中 p 是梅森素数 $p=2^n-1$ 4。该方案被视为 LWE/NTRU“小噪声”范式的一种简单实现 5555，其特点是利用梅森素数模运算（乘 2 的幂等于循环移位）来保持汉明重量不变 6；其 KEM 版本在随机预言模型下被证明是 IND-CCA2 安全的 7777。,
Odd Manhattan,密钥封装,格,Bounded Distance Parity Check Problem,Thomas PLANTARD,,https://csrc.nist.gov/CSRC/media/Projects/Post-Quantum-Cryptography/documents/round-1/submissions/Odd_Manhattan.zip,https://github.com/sageblue000/pqc_collect/blob/master/Supporting_Documentation/NIST_round1/Odd_Manhattan/Algorithm_Specifications.pdf,,Odd Manhattan 是一种基于格的公钥加密 (PKE) 和密钥封装 (KEM) 方案。其安全性基于一个新提出的困难问题，称为“$\alpha$-有界距离奇偶校验问题”(BDPC$\alpha$)，该问题被证明至少与 BDD（有界距离解码）问题一样困难。该方案的陷门是一个具有奇数分量且曼哈顿范数（$l_1$-norm）有界的向量。其主要优势是安全性基于比大多数格密码更弱（更困难）的 $l_{\infty}$-norm USVP/GapSVP 假设，但代价是密钥生成、加密和解密的开销都相对昂贵。,
KCL,密钥封装,格,LWE/LWR/RLWE/MLWE,赵运磊 团队,,https://csrc.nist.gov/CSRC/media/Projects/Post-Quantum-Cryptography/documents/round-1/submissions/OKCN_AKCN_CNKE.zip,https://github.com/sageblue000/pqc_collect/blob/master/Supporting_Documentation/NIST_round1/KCL/Specifications-OKCN_AKCN_CNKE.pdf,https://csrc.nist.gov/CSRC/media/Projects/Post-Quantum-Cryptography/documents/round-1/official-comments/KCL-okcn-official-comment.pdf,KCL（OKCN/AKCN/CNKE）是一套以“带噪一致性”机制模块化构建 LWE/LWR/RLWE/MLWE 系列的 KEM、PKE 与 AKE 的格基方案族，其安全性分别基于相应的（R/ML）LWE/LWR 决定性假设并可借 FO 变换达到 IND-CCA2；在性能上通过多比特一致性与误差校正（如 SEC/E8）显著降低带宽与错误率、在多种实例中优于 Frodo/NewHope，MLWE 实例的通信开销也可优于 Kyber，同时保持实现简洁与参数可调。,在 NIST 第一轮中未能胜出，无缘NIST标准化。
