算法名,算法用途,算法困难问题类型,具体算法困难问题,作者团队,官网链接,源代码链接,标准化文件链接,所有评论,算法特色简介,算法后续进展
Enhanced pqsigRM,签名,编码,,Jinkyu Cho 等,,,https://csrc.nist.gov/csrc/media/Projects/pqc-dig-sig/documents/round-1/spec-files/Enhanced-pqsigRM-spec-web.pdf,,,
FuLeeca,签名,编码,,Stefan Ritterhoff 等,https://www.ce.cit.tum.de/en/lnt/research/associate-professorship-of-coding-and-cryptography/fuleeca/https://www.ce.cit.tum.de/en/lnt/research/associate-professorship-of-coding-and-cryptography/fuleeca/,,https://csrc.nist.gov/csrc/media/Projects/pqc-dig-sig/documents/round-1/spec-files/FuLeeca-spec-web.pdf,,,
MEDS,签名,编码,,Tung Chou 等,https://www.meds-pqc.org/,,https://csrc.nist.gov/csrc/media/Projects/pqc-dig-sig/documents/round-1/spec-files/MEDS-spec-web.pdf,,,
Wave,签名,编码,,Gustavo Banegas 等,,,https://csrc.nist.gov/csrc/media/Projects/pqc-dig-sig/documents/round-1/spec-files/wave-spec-web.pdf,,,
EagleSign,签名,格,,Djiby Sow 等,,,https://csrc.nist.gov/csrc/media/Projects/pqc-dig-sig/documents/round-1/spec-files/EagleSign-spec-web.pdf,,,
EHTv3 and EHTv4,签名,格,,Igor Semaev 等,,,https://csrc.nist.gov/csrc/media/Projects/pqc-dig-sig/documents/round-1/spec-files/EHTv3v4-spec-web.pdf,,,
HAETAE,签名,格,,Jung Hee Cheon 等,,,https://csrc.nist.gov/csrc/media/Projects/pqc-dig-sig/documents/round-1/spec-files/haetae-spec-web.pdf,,,
HuFu,签名,格,SIS and LWE on Generic Lattices,王小云 团队,,https://csrc.nist.gov/csrc/media/Projects/pqc-dig-sig/documents/round-1/submission-pkg/HuFu-submission-noKATs.zip,https://csrc.nist.gov/csrc/media/Projects/pqc-dig-sig/documents/round-1/spec-files/HuFu-spec-web.pdf,,HuFu 是一种基于通用格上 SIS/LWE 最坏情况困难、按 GPV 哈希-签名并采用 Micciancio–Peikert gadget 与紧凑 gadget 实现的格基签名；相较 Falcon/Dilithium 等结构化格方案，它弱化环结构以缩小攻击面、支持在线/离线分离且签名尺寸接近 Dilithium、速度可观，但公钥较大（约 1–3.5 MB）且离线阶段依赖浮点运算。,在 NIST 额外第一轮中未能胜出，无缘NIST标准化。
Raccoon,签名,格,,Rafael del Pino 等,https://raccoonfamily.org/,,https://csrc.nist.gov/csrc/media/Projects/pqc-dig-sig/documents/round-1/spec-files/raccoon-spec-web.pdf,,,
SQUIRRELS,签名,格,,Thomas Espitau 等,https://www.squirrels-pqc.org/,,https://csrc.nist.gov/csrc/media/Projects/pqc-dig-sig/documents/round-1/spec-files/Squirrels-spec-web.pdf,,,
Biscuit,签名,MPCitH,,Luk Bettale 等,https://www.biscuit-pqc.org/,,https://csrc.nist.gov/csrc/media/Projects/pqc-dig-sig/documents/round-1/spec-files/Biscuit-spec-web.pdf,,,
3WISE,签名,多变量,,Borja Gómez Rodríguez,,,https://csrc.nist.gov/csrc/media/Projects/pqc-dig-sig/documents/round-1/spec-files/3wise-spec-web.pdf,,,
DME-Sign,签名,多变量,,Ignacio Luengo 等,https://www.mat.ucm.es/DME,,https://csrc.nist.gov/csrc/media/Projects/pqc-dig-sig/documents/round-1/spec-files/DME_SIGN-spec-web.pdf,,,
HPPC,签名,多变量,,Borja Gómez Rodríguez,,,https://csrc.nist.gov/csrc/media/Projects/pqc-dig-sig/documents/round-1/spec-files/hppc-spec-web.pdf,,,
PROV,签名,多变量,,Louis Goubin 等,https://prov-sign.github.io/,,https://csrc.nist.gov/csrc/media/Projects/pqc-dig-sig/documents/round-1/spec-files/prov-spec-web.pdf,,,
TUOV,签名,多变量,,Jintai Ding 等,https://www.tuovsig.org/,,https://csrc.nist.gov/csrc/media/Projects/pqc-dig-sig/documents/round-1/spec-files/TUOV-spec-web.pdf,,,
VOX,签名,多变量,,Jacques Patarin 等,https://vox-sign.com/,,https://csrc.nist.gov/csrc/media/Projects/pqc-dig-sig/documents/round-1/spec-files/vox-spec-web.pdf,,,
AIMer,签名,哈希,,Seongkwang Kim 等,https://www.aimer-signature.org/,,https://csrc.nist.gov/csrc/media/Projects/pqc-dig-sig/documents/round-1/spec-files/AIMer-spec-web.pdf,,,
Ascon-Sign,签名,哈希,,Vikas Srivastava 等,,,https://csrc.nist.gov/csrc/media/Projects/pqc-dig-sig/documents/round-1/spec-files/Ascon-sign-spec-web.pdf,,,
SPHINCS-alpha,签名,哈希,Pseudorandomness Assumption for Hash Function,郁昱 团队,https://github.com/pqcrypto-cn/PQMagic,https://github.com/pqcrypto-cn/PQMagic/tree/main/sig/sphincs-a/std,https://csrc.nist.gov/csrc/media/Projects/pqc-dig-sig/documents/round-1/spec-files/sphincs-alpha-spec-web.pdf,,SPHINCS-α 是一种基于哈希的无状态后量子签名方案，安全性仅依赖底层哈希函数（抗碰撞与单向性），在 SPHINCS+ 基础上通过更高效的 FORS 与 HORST 设计显著减少签名大小和验证成本；相比格基签名（如 Dilithium、Falcon），其安全假设更简单、抗侧信道性更强，但签名仍较大、速度略慢。,在 NIST 额外第一轮中未能胜出，无缘NIST标准化。
ALTEQ,签名,其他,,Markus Bläser 等,,,https://csrc.nist.gov/csrc/media/Projects/pqc-dig-sig/documents/round-1/spec-files/ALTEQ-Spec-web.pdf,,,
eMLE-Sig 2.0,签名,其他,,Dongxi Liu 等,,,https://csrc.nist.gov/csrc/media/Projects/pqc-dig-sig/documents/round-1/spec-files/eMLE-spec-web.pdf,,,
KAZ-SIGN,签名,其他,,Muhammad Rezal Kamel Ariffin 等,https://www.antrapol.com/KAZ-SIGN,,https://csrc.nist.gov/csrc/media/Projects/pqc-dig-sig/documents/round-1/spec-files/kaz-sign-spec-web.pdf,,,
Preon,签名,其他,,Ming-Shing Chen 等,,,https://csrc.nist.gov/csrc/media/Projects/pqc-dig-sig/documents/round-1/spec-files/Preon-spec-web.pdf,,,
Xifrat1-Sign.I,签名,其他,,Jianfang "Danny" Niu 等,https://preon.btq.com/,,https://csrc.nist.gov/csrc/media/Projects/pqc-dig-sig/documents/round-1/spec-files/xifrat1-sign-i-spec.pdf,,,
