算法名,算法用途,算法困难问题类型,具体算法困难问题,作者团队,官网链接,源代码链接,标准化文件链接,所有评论,算法特色简介,算法后续进展
CROSS,签名,编码,Restricted Syndrome Decoding (RSD) Problem,Marco Baldi 等,http://cross-crypto.com/,https://github.com/open-quantum-safe/liboqs/tree/main/src/sig/cross,https://csrc.nist.gov/csrc/media/Projects/pqc-dig-sig/documents/round-2/spec-files/cross-spec-round2-web.pdf,https://csrc.nist.gov/csrc/media/Projects/pqc-dig-sig/documents/round-2/official-comments/cross-round2-dig-sig-official-comment.pdf.pdf,CROSS 是一种基于“受限综合译码”难题（R-SDP / R-SDP(G)）并由零知识协议经 Fiat–Shamir 变换得到的代码类签名方案，安全目标为 EUF-CMA；相较格基/哈希型方案，它以极小公钥与实现简洁（常数时、SHAKE/种子树+Merkle 压缩、提供 fast/balanced/small 三种取舍）见长，但签名尺寸通常更大、底层假设相对更新。,正在接受 NIST 额外第二轮的评估。
LESS,签名,编码,Canonical Forms Linear Equivalence Problem (CF-LEP),Marco Baldi 等,https://www.less-project.com/,https://github.com/less-sig/LESS,https://csrc.nist.gov/csrc/media/Projects/pqc-dig-sig/documents/round-2/spec-files/less-spec-round2-web.pdf,https://csrc.nist.gov/csrc/media/Projects/pqc-dig-sig/documents/round-1/official-comments/LESS-sign-round1-dig-sig-official-comment.pdf,LESS 是一种基于线性等价问题（LEP）的代码类签名方案，通过对“线性码等价性的零知识 Sigma 协议”施加 Fiat–Shamir 变换获得 EUF-CMA 安全；相较格基/哈希型方案，它以极小公钥、实现简洁和较短签名为特色（通过规范形与固定权挑战压缩），但签名仍偏大于主流格基签名、底层假设相对更新。,正在接受 NIST 额外第二轮的评估。
SQIsign,签名,同源,Endomorphism Ring Problem,Marius A. Aardal 等,https://sqisign.org/,https://github.com/SQIsign/the-sqisign,https://csrc.nist.gov/csrc/media/Projects/pqc-dig-sig/documents/round-2/spec-files/sqisign-spec-round2-web.pdf,,SQIsign 是一种同源基（isogeny-based）后量子签名，安全性基于超奇异椭圆曲线自同态环求解（endomorphism ring problem）难解性并给出 EUF-CMA 证明；相较格基方案（如 ML-DSA/Dilithium、Falcon），其公钥与签名极为紧凑（组合体积业内最小之一），验证较快而签名偏慢、实现更复杂但已具实用效率。,正在接受 NIST 额外第二轮的评估。
HAWK,签名,格,Lattice Isomorphism Problem (LIP),Joppe W. Bos 等,https://hawk-sign.info/,https://github.com/hawk-sign/dev/,https://csrc.nist.gov/csrc/media/Projects/pqc-dig-sig/documents/round-2/spec-files/hawk-spec-round2-web.pdf,,HAWK 是一种格基签名方案，源自 LIP 并在 qROM 下把 SUF-CMA 安全性归约到 omSVP、密钥恢复归约到 smLIP；工程上具备小密钥/签名、签验快速、占用内存低且无需浮点，相比 Dilithium/Falcon 更紧凑但安全假设较新、离散高斯采样的侧信道防护仍待加强。,正在接受 NIST 额外第二轮的评估。
Mirath,签名,MPCitH,Minimum Rank (MinRank) Problem,Gor Adj 等,https://pqc-mirath.org/,https://pqc-mirath.org/assets/downloads/mirath_v2.1.0.zip,https://csrc.nist.gov/csrc/media/Projects/pqc-dig-sig/documents/round-2/spec-files/mirath-spec-round2-web.pdf,https://csrc.nist.gov/csrc/media/Projects/pqc-dig-sig/documents/round-1/official-comments/MiRitH-round1-dig-sig-official-comment.pdf,Mirath 是一种基于 MinRank 困难性的后量子签名，采用 TCitH（可选 VOLEitH）范式的“in-the-Head”零知识证明并经 Fiat–Shamir 去交互化；相较同类 MinRank 方案（如 MIRA/MiRitH），通过 Dual-Support 建模与批量 all-but-one 向量承诺等优化显著缩小签名并保持可实现的验证效率，但以更高的证明/哈希开销为代价。,正在接受 NIST 额外第二轮的评估。
MQOM,签名,MPCitH,Unstructured Multivariate Quadratic (MQ) problem,Ryad Benadjila 等,https://mqom.org/,https://github.com/mqom,https://csrc.nist.gov/csrc/media/Projects/pqc-dig-sig/documents/round-2/spec-files/mqom-spec-round2-web.pdf,,MQOM 是一种基于多变量二次方程（MQ）难题、采用 TCitH/“in-the-Head” 证明并经 Fiat–Shamir 去交互化的后量子签名；其安全性依赖随机 MQ 的难解性与基于哈希/XOF 的承诺绑定性，性能上通过阈值秘密共享、字段嵌入与批处理把签名显著做小（v2 在 I 级约 2.8–4.2KB）并提升验证效率，但总体仍较主流格基签名体积更大、计算更重。,正在接受 NIST 额外第二轮的评估。
PERK,签名,MPCitH,Relaxed Inhomogeneous Permuted Kernel Problem (r-IPKP),Najwa Aaraj 等,https://pqc-perk.org/,https://pqc-perk.org/assets/downloads/perk-v2.1.0.zip,https://csrc.nist.gov/csrc/media/Projects/pqc-dig-sig/documents/round-2/spec-files/perk-spec-round2-web.pdf,https://csrc.nist.gov/csrc/media/Projects/pqc-dig-sig/documents/round-1/official-comments/PERK-round1-dig-sig-official-comment.pdf,PERK 是一种基于置换核问题变体 r-IPKP、采用 MPC-in-the-Head 证明并通过 Fiat–Shamir 去交互化的代码类签名；其安全性在随机预言机模型下依赖 r-IPKP 的困难性与哈希/承诺安全，工程上具备极小公钥与简洁（常数时间）实现，但签名相对较大、以哈希为主的计算开销更高，整体较格基签名（如 Dilithium/Falcon）通信更重而实现更轻。,正在接受 NIST 额外第二轮的评估。
RYDE,签名,MPCitH,Rank Syndrome Decoding (RSD) problem,Nicolas Aragon 等,https://pqc-ryde.org/,https://pqc-ryde.org/assets/downloads/ryde_v2.1.0.zip,https://csrc.nist.gov/csrc/media/Projects/pqc-dig-sig/documents/round-2/spec-files/ryde-spec-round2-web.pdf,,"RYDE 是一种基于秩综合译码（Rank Syndrome Decoding, RSD）问题的代码类后量子签名方案，安全性建立在 RSD/RSDs 困难性与 Fiat–Shamir 转换下的零知识证明；采用 TCitH（或 VOLEitH）框架与 Dual-Support 建模显著缩小签名体积（约 4–6KB），在代码类签名中兼顾较小密钥、可并行实现与较快验证性能。",正在接受 NIST 额外第二轮的评估。
SDitH,签名,MPCitH,Syndrome Decoding (SD) problem for Random Linear Codes on a Finite Field,Carlos Aguilar Melchor 等,https://sdith.org/,https://github.com/sdith,https://csrc.nist.gov/csrc/media/Projects/pqc-dig-sig/documents/round-2/spec-files/sdith-spec-round2-web.pdf,https://csrc.nist.gov/csrc/media/Projects/pqc-dig-sig/documents/round-1/official-comments/SDitH-round1-dig-sig-official-comment.pdf,SDitH 是一种基于随机线性码综合译码（SD）困难问题、采用 VOLE-in-the-Head 范式并经 Fiat–Shamir 去交互化的代码类签名；相较格基与哈希型方案，其在 I 级可实现“公钥+签名≈3.7KB、验证高效”的体积/带宽优势，但以较多哈希与承诺计算为代价。,正在接受 NIST 额外第二轮的评估。
MAYO,签名,多变量,Oil-and-Vinegar Indistinguishability (OV-IND) Problem,Ward Beullens 等,https://pqmayo.org/,https://github.com/open-quantum-safe/liboqs/tree/main/src/sig/mayo,https://csrc.nist.gov/csrc/media/Projects/pqc-dig-sig/documents/round-2/spec-files/mayo-spec-round2-web.pdf,https://csrc.nist.gov/csrc/media/Projects/pqc-dig-sig/documents/round-1/official-comments/MAYO-round1-dig-sig-official-comment.pdf,MAYO 是一种基于多变量二次（MQ）陷门的签名方案，是 Oil-and-Vinegar（OV）结构的改进型。它通过引入“k-fold whipping”机制在有限域 GF(16) 上实现更高密度的方程构造，从而在保持安全性的同时显著缩小公钥体积。其安全性依赖于从公开映射恢复油空间或陷门的困难（即 OV 不可区分性问题），对抗最新的系统求解与 MinRank 攻击。相比传统格基和哈希基签名，MAYO 具有更小的公钥和更快的验证性能；相比经典 OV，它在略增签名长度的代价下换来了公钥体积的大幅降低。,正在接受 NIST 额外第二轮的评估。
